Module ID,Module Name,Field Key,Context,Portuguese (Source),EN,ES,FR,RU,AR,ZH,EL,HI
acne,"Manejo da Acne Vulgaris",titulo,"Module title","Manejo da Acne Vulgaris","","","","","","","",""
acne,"Manejo da Acne Vulgaris",descricao,"Module description","A acne vulgaris é uma condição inflamatória crônica da unidade pilosebácea que afeta comumente adultos, adolescentes e pré-adolescentes com 9 anos ou mais . É uma das condições de pele mais comuns em crianças e adolescentes, com apresentação, diagnóstico diferencial e associações com patologias sistêmicas variando por idade . O manejo envolve abordagens tópicas, sistêmicas e dermocosméticas, com impacto negativo na qualidade de vida, incluindo ansiedade e depressão . Condições associadas como síndrome dos ovários policísticos (SOP) podem contribuir para acne em mulheres .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",sus.indicacao,"SUS screening indication","No SUS, o manejo da acne é recomendado para pacientes com lesões moderadas a graves, priorizando tratamentos acessíveis e protocolos dermatológicos latino-americanos .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",sus.populacaoAlvo,"SUS target population","Adolescentes e adultos com acne vulgaris sintomática, incluindo aqueles com comorbidades como SOP .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",sus.periodicidade,"SUS screening frequency","Avaliação clínica inicial e follow-up a cada 4-6 semanas durante tratamento ativo .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",sociedadesMedicas.indicacao,"Medical societies screening indication","As diretrizes da American Academy of Dermatology (AAD) recomendam manejo baseado em gravidade, com terapias tópicas para leve, combinação para moderada e sistêmicas para grave . Sociedade Endócrina para acne associada a SOP .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",epidemiologia.prevalencia,"Prevalence data","Alta prevalência em adolescentes e jovens adultos, afetando comumente populações pediátricas e adultas . Prevalência global estimada em até 80-90% durante a adolescência .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",epidemiologia.incidencia,"Incidence data","Incidência aumenta na puberdade, com picos em 12-24 anos .","","","","","","","",""
acne,"Manejo da Acne Vulgaris",epidemiologia.mortalidade,"Mortality data","Mortalidade negligible, mas morbidade significativa devido a cicatrizes e impacto psicológico .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",titulo,"Module title","Diagnóstico e Avaliação de Doença de Alzheimer","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",descricao,"Module description","A doença de Alzheimer é a forma mais comum de demência, caracterizada por declínio cognitivo progressivo . As diretrizes recomendam avaliação estruturada para suspeita de comprometimento cognitivo em cuidados primários e especializados . A avaliação inclui história clínica, testes cognitivos e exclusão de causas reversíveis .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",sus.indicacao,"SUS screening indication","Avaliação diagnóstica para pacientes com suspeita de declínio cognitivo ou queixas de memória, sem programa de rastreamento populacional rotineiro .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",sus.populacaoAlvo,"SUS target population","Idosos acima de 65 anos com fatores de risco como história familiar, hipertensão ou Down syndrome .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",sus.periodicidade,"SUS screening frequency","Sob demanda clínica, sem periodicidade fixa; reavaliação anual para MCI .","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",sociedadesMedicas.indicacao,"Medical societies screening indication","Avaliação diagnóstica recomendada pela Alzheimer\","","","","","","","",""
alzheimer,"Diagnóstico e Avaliação de Doença de Alzheimer",epidemiologia.prevalencia,"Prevalence data","A prevalência global de demência é de aproximadamente 55 milhões de casos, com Alzheimer representando 60-70% . No Brasil, estima-se 1,5 milhão de casos de demência .","","","","","","","",""
